id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14449619,"Private Room in a  plant filled, two cat space!",20528482,Gavin,,West Town,41.89653,-87.66787,Private room,113,2,325,31-05-2025,3.03,1,178,19,R24000115712
14531526,Spacious 3 Bedroom Historic Chicago Apt w/Parking,85455802,Lou,,West Town,41.89286,-87.68706,Entire home/apt,276,2,185,08-06-2025,1.73,1,227,15,R21000073666
14539561,A+Chicago Home Upscale Roscoe Village Wrigleyville,61228,Asha,,North Center,41.94461,-87.68513,Entire home/apt,139,1,302,09-06-2025,2.82,2,87,40,R20000054149
14556304,Spacious & Relaxing Loft in Awesome Andersonville!,90128865,Martin,,Edgewater,41.9888,-87.67054,Private room,94,3,280,09-06-2025,2.64,3,215,35,R21000068268
14588581,Roscoe Village Haven,11257311,Olivia And Tom,,North Center,41.94296,-87.68487,Entire home/apt,91,32,177,03-06-2025,1.65,1,255,4,
14595303,Lakeview Flat - WALK TO WRIGLEY,45401863,Joe,,Lake View,41.95168,-87.67357,Entire home/apt,,32,194,20-10-2024,1.81,1,0,7,
14611960,The Bucktown House - Damen Suite - Since 2008,90644159,Jean,,Logan Square,41.92055,-87.67794,Entire home/apt,239,4,120,19-05-2025,1.12,4,71,13,2246788
14631349,The Bucktown House - Historic Coachhouse Since '08,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,369,4,101,26-05-2025,0.96,4,299,19,2209529
14692738,Cozy guest bedroom by the lake in Rogers Park,5294649,Qianhui,,Rogers Park,42.00848,-87.66326,Private room,60,32,37,01-02-2025,0.52,1,288,1,
14741430,Cozy garden apartment historic Jackson Bvld.,20810730,Mary,,Near West Side,41.87637,-87.66583,Entire home/apt,211,2,356,04-06-2025,3.35,1,220,32,R21000073040
14774756,Decompress on a Sophisticated Chaise at a Glamorous Hideaway,26201109,Simida,,West Town,41.89822,-87.68037,Entire home/apt,293,2,173,01-06-2025,1.62,2,350,17,R24000120148
14806237,Stay in a Historic Mansion in Lincoln Park!,20521416,Nikolas,,Lincoln Park,41.92669187,-87.64675916,Entire home/apt,150,32,60,24-12-2024,0.56,1,80,1,
14820957,Private room twin K3 mid,36549783,Jeffrey,,Irving Park,41.962921,-87.735283,Private room,150,2,31,05-08-2024,0.32,12,90,3,R23000105724
14871197,"Large, Reno’d 3 BR apt near Everything!",37607540,Kristine,,Lake View,41.93506,-87.65008,Entire home/apt,308,3,230,01-06-2025,2.16,1,100,30,R21000075010
14883494,The Compound a hidden oasis in Logan Square,1187822,Mark,,Logan Square,41.91959,-87.69579,Entire home/apt,260,32,67,07-06-2025,0.63,1,240,3,
15011149,"Our home, steps from Logan Square (4 br/3.5 ba)",24998094,Kelsey,,Avondale,41.93619,-87.7059,Entire home/apt,,3,25,18-05-2025,0.36,1,0,3,R24000123408
15024671,Designer Suite on Tree Lined Street in Bucktown,90644159,Jean,,Logan Square,41.92214,-87.68344,Entire home/apt,185,4,83,03-06-2025,0.82,4,279,4,2938293
15053294,Cozy 3BR on Chicago's North Side & Free Parking,95140453,Mark & Marcelo,,Rogers Park,42.01319,-87.67125,Entire home/apt,266,2,287,08-06-2025,2.73,1,248,25,R22000077000
15094729,"Cloudgate Room, minutes to O'Hare in Safest Area",2456789,Mary,,Norwood Park,41.98294,-87.8196,Private room,40,3,269,14-06-2025,2.58,5,52,13,R25000124133
15114450,CASA NEWPORT,8367850,David,,Lake View,41.9438,-87.65205,Entire home/apt,154,3,126,24-05-2025,1.19,1,217,22,R18000034278
15115673,Two blocks from Wrigley Field and the Metro.,21686213,Laura,,Lake View,41.94846,-87.65892,Private room,62,2,270,28-04-2025,2.57,1,35,30,R17000013440
15116890,"Lovely,large 1BR flat in Logan Square",30589635,Geeta,,Logan Square,41.92925,-87.71908,Entire home/apt,,32,308,01-06-2025,2.9,1,134,2,
15130764,"A Cozy Escape
Spacious 3-Bedroom with Bonus area",95926744,Lakeia S,,West Pullman,41.67053,-87.64963,Entire home/apt,148,1,180,18-05-2025,1.7,1,338,1,
