id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5.91129E+17,Nola 1BR Villa heart of French Qtr. on Resort,303719667,Chris,,Central Business District,29.95129,-90.06726,Private room,,4,0,,,26,0,0,23-XSTR-44553
5.9116E+17,NOLA 1BR Villa in Prime French Quarter Location,303719667,Chris,,Central Business District,29.95209,-90.06783,Private room,,4,2,08-10-2024,0.05,26,0,1,23-XSTR-44554
5.91207E+17,Cute 1bed steps from French Q and Jazz venues.,26642486,Jose,,Seventh Ward,29.96793556,-90.06234741,Entire home/apt,57,2,101,25-05-2025,2.59,17,248,28,"21-CSTR-08590, 24-OSTR-04983"
5.91424E+17,Modern one-bedroom condo with parking and pool,95683904,Brad,,Bywater,29.96252,-90.03695,Entire home/apt,79,1,127,13-06-2025,3.27,30,155,47,"22-CSTR-04104, 24-OSTR-03631"
5.91924E+17,Snazzy Esplanade Bungalow Private Patio 2 Bed Bath,290355593,Rodney,,Fairgrounds,29.97716,-90.07797,Entire home/apt,76,30,77,05-05-2025,2.01,6,256,13,"23-CSTR-17894, 22-OSTR-15928"
5.91929E+17,Shotgun With a Twist,451495279,Banikah Asha,,Seventh Ward,29.97507,-90.05873,Entire home/apt,107,2,101,01-06-2025,2.59,2,88,24,"23-NSTR-06395, 22-OSTR-06395"
5.92576E+17,Lakefront Suite,445090395,William,,Milneburg,30.02079,-90.05099,Private room,,30,9,15-05-2023,0.24,1,0,0,"22-RSTR-10767, 22-OSTR-10885"
5.92728E+17,Urban Retreat in the heart of NOLA,451675229,Monique,,Seventh Ward,29.982466,-90.060951,Entire home/apt,81,2,48,31-05-2025,1.6,1,256,21,"23-NSTR-15664, 24-OSTR-04021"
5.92741E+17,"Comfy, cozy and chic",103577383,Stanislav,,Mid-City,29.96499381,-90.09195678,Entire home/apt,200,30,1,11-03-2025,0.3,1,177,1,
5.92847E+17,1900’s Renovated Historic House - Near FQ,38663079,Norman,,St. Claude,29.968,-90.04303,Entire home/apt,230,1,278,02-06-2025,7.15,4,289,65,"23-CSTR-05672, 21-OSTR-15420"
5.93365E+17,French Quarter LocationJimmys on Canal St. Ste 2,17072961,Peter,,Central Business District,29.952354,-90.067665,Entire home/apt,172,2,89,11-06-2025,2.28,3,323,34,"22-cstr-02826, 22-ostr-04306"
5.94233E+17,French Quarter Location Jimmys on Canal St. ADA #4,17072961,Peter,,Central Business District,29.95329,-90.06851,Entire home/apt,128,1,130,13-06-2025,3.33,3,321,54,"22-CSTR-02839, 22-OSTR-04396"
5.94285E+17,Lovely Bywater 1- Bedroom w/ Pool!,35395756,Kpvr,,Bywater,29.96278,-90.04226,Entire home/apt,72,30,6,31-03-2025,0.16,8,89,2,
5.94677E+17,Not Your Average Shotgun,451495279,Banikah Asha,,Seventh Ward,29.97635,-90.05858,Entire home/apt,100,2,78,18-05-2025,2.01,2,87,24,"23-NSTR-06398, 22-OSTR-06395"
5.94774E+17,Charming Irish Channel Home | Steps to Magazine St,452099814,Gary,,Irish Channel,29.92679977,-90.07969666,Entire home/apt,129,2,92,08-06-2025,2.61,1,255,16,"24-NSTR-09933, 24-OSTR-08342"
5.9481E+17,Modern Treme Bungalow,396853957,Emily,,Treme - Lafitte,29.96816,-90.07167,Entire home/apt,105,1,96,04-05-2025,2.46,1,174,24,"23-NSTR-15739, 22-OSTR-05360"
